code,도,시,구,동
4111156000,경기도,수원시,장안구,파장동
4111156600,경기도,수원시,장안구,율천동
4111157100,경기도,수원시,장안구,정자1동
4111157200,경기도,수원시,장안구,정자2동
4111157300,경기도,수원시,장안구,정자3동
4111158000,경기도,수원시,장안구,영화동
4111159100,경기도,수원시,장안구,송죽동
4111159700,경기도,수원시,장안구,조원1동
4111159800,경기도,수원시,장안구,조원2동
4111160000,경기도,수원시,장안구,연무동
4111352000,경기도,수원시,권선구,세류1동
4111353000,경기도,수원시,권선구,세류2동
4111354000,경기도,수원시,권선구,세류3동
4111355000,경기도,수원시,권선구,평동
4111356000,경기도,수원시,권선구,서둔동
4111365000,경기도,수원시,권선구,구운동
4111366200,경기도,수원시,권선구,금곡동
4111366400,경기도,수원시,권선구,호매실동
4111367000,경기도,수원시,권선구,권선1동
4111368000,경기도,수원시,권선구,권선2동
4111369000,경기도,수원시,권선구,곡선동
4111370000,경기도,수원시,권선구,입북동
4111565000,경기도,수원시,팔달구,매교동
4111566000,경기도,수원시,팔달구,매산동
4111567000,경기도,수원시,팔달구,고등동
4111568000,경기도,수원시,팔달구,화서1동
4111569000,경기도,수원시,팔달구,화서2동
4111570000,경기도,수원시,팔달구,지동
4111571000,경기도,수원시,팔달구,우만1동
4111572000,경기도,수원시,팔달구,우만2동
4111573000,경기도,수원시,팔달구,인계동
4111574000,경기도,수원시,팔달구,행궁동
4111751000,경기도,수원시,영통구,매탄1동
4111752000,경기도,수원시,영통구,매탄2동
4111753000,경기도,수원시,영통구,매탄3동
4111754000,경기도,수원시,영통구,매탄4동
4111755000,경기도,수원시,영통구,원천동
4111757000,경기도,수원시,영통구,영통1동
4111758000,경기도,수원시,영통구,영통2동
4111758500,경기도,수원시,영통구,영통3동
4111759300,경기도,수원시,영통구,망포1동
4111759600,경기도,수원시,영통구,망포2동
4111760000,경기도,수원시,영통구,광교1동
4111761000,경기도,수원시,영통구,광교2동
