종목코드,종목명,업종명,종가,등락률,시가,거래량,거래대금
282330,BGF리테일,유통업,186000,-0.8,187500,18358,3410065500
128820,대성산업,유통업,5300,1.53,5210,268755,1407656760
101140,인바이오젠,유통업,3120,-2.8,3215,377597,1186731470
145995,삼양사우,음식료품,50000,0.91,49550,718,36091000
26490K,크라운제과우,음식료품,21950,-2.88,22750,21474,473456350
234080,JW생명과학,의약품,19300,0.0,19350,44484,854552250
102460,이연제약,의약품,44700,0.45,43750,4291143,195869648450
128940,한미약품,의약품,326000,-0.61,329000,48823,15940396000
35320K,대덕전자1우,전기전자,16150,2.54,15750,137509,2225432750
336370,솔루스첨단소재,전기전자,50400,3.28,49300,473383,23774705750
00088K,한화3우B,화학,15750,0.96,15700,26785,420624450
298050,효성첨단소재,화학,361000,-0.28,362500,107847,38988995500
